i,name,size,group
130,"Pitt, Mark A.",0.21879524675542267,other
131,"Sturt, P",0.48811620249632104,other
132,"Lieven, Elena",0.4408338022040816,other
133,"Nijhawan, Romi",0.23573706384831136,other
134,"Todd, Peter M.",0.6187180748259027,other
135,"Zeelenberg, Rene",0.29427715826949513,other
136,"Perruchet, Pierre",0.5378372504958885,other
137,"Cagan, Jonathan",0.2676120594824001,other
138,"Anderson, John R.",0.5444643963928508,other
139,"Politzer, Guy",0.3636961419066807,other
140,"Steyvers, M",0.33307156639400326,other
141,"Hare, Mary",0.24190471956495901,other
142,"Ramscar, M",0.37932308854882757,other
143,"Louwerse, Max M.",0.6025537139675772,other
144,"Graesser, Arthur C.",0.38029880962873513,other
145,"Loewenstein, Jeffrey",0.4671648374755624,other
146,"Saffran, Jenny R.",0.44031381341740866,other
147,"Masuda, T",0.6584793235011894,other
148,"Pine, Julian M.",0.37385815119178006,other
149,"Holden, John G.",0.358778160502272,other
150,"Kotovsky, K",0.2676120594824001,other
151,"Tversky, Barbara",0.43405623072613775,other
152,"Kozhevnikov, Maria",0.5341677788156938,other
153,"Friederici, Angela D.",0.409335566666938,other
154,"Schulz, Laura",0.2765776482402815,other
155,"Ravizza, Susan M.",0.5348464218057829,other
156,"Gredeback, Gustaf",0.3015135145206575,other
157,"Jonker, CM",0.18926881327552042,other
158,"Niedenthal, Paula M.",0.4650327973125481,other
159,"Colunga, Eliana",0.440576191266418,other
160,"Postma, EO",0.5709586703078194,other
161,"Shiffrin, Richard M.",0.42386225846481584,other
162,"Honbolygo, Ferenc",0.536927884312726,other
163,"Goldstone, Robert L.",0.6607644723925006,other
164,"Newport, Elissa L.",0.29866722267491697,other
165,"Kalish, Michael L.",0.3348234659303659,other
166,"Lombardo, V",0.48811620249632104,other
167,"Shockley, K",0.25830176353476764,other
168,"Hespos, Susan",0.3612722756105737,other
169,"Mirman, Daniel",0.3598849222440834,other
170,"Tanenhaus, Michael K.",0.14414441994170413,other
171,"Rahwan, Iyad",0.6931471805599452,other
172,"Davis, Colin J.",0.2221266305689124,other
173,"Qin, Yulin",0.41663670490669513,other
174,"Larkey, LB",0.48375282455510527,other
175,"Lu, Shulan",0.3819660944341946,other
176,"Lagnado, DA",0.26597428020724134,other
177,"Jackson, G. Tanner",0.35628605047247397,other
178,"McElree, B",0.30277230260769866,other
179,"Rieskamp, Joerg",0.4350186414849414,other
180,"Myung, Jay I.",0.21879524675542267,other
181,"Li, Ping",0.6612290326714729,other
182,"Barsalou, Lawrence W.",0.5160787181853849,other
183,"Pexman, Penny M.",0.5988378071273535,other
184,"Garrod, Simon",0.5508512159369492,other
185,"Norenzayan, Ara",0.4758472896987623,other
186,"Jones, Gary",0.5333153361661063,other
187,"Montello, Daniel R.",0.38276838057924967,other
